Type,x,y,tag,model
Player,0,0,Player,Player
Computer,4,0,Computer,2;3
Entity,3,0,Fire,Fire
Entity,3,1,Fire,Fire
Entity,3,2,Fire,Fire
Entity,3,3,Fire,Fire
Entity,3,4,Fire,Fire
Entity,3,5,Fire,Fire
Entity,3,6,Fire,Fire
Entity,4,1,Fire,Fire
Entity,4,2,Fire,Fire
Entity,4,3,Fire,Fire
Entity,4,4,Fire,Fire
Entity,4,5,Fire,Fire
Entity,4,6,Fire,Fire
Entity,5,0,Fire,Fire
Entity,5,1,Fire,Fire
Entity,5,2,Fire,Fire
Entity,5,3,Fire,Fire
Entity,5,4,Fire,Fire
Entity,5,5,Fire,Fire
Entity,5,6,Fire,Fire
Entity,6,0,Fire,Fire
Entity,6,1,Fire,Fire
Entity,6,2,Fire,Fire
Entity,6,3,Fire,Fire
Entity,6,4,Fire,Fire
Entity,6,5,Fire,Fire
Entity,6,6,Fire,Fire
Entity,7,0,Fire,Fire
Entity,7,1,Fire,Fire
Entity,7,2,Fire,Fire
Entity,7,3,Fire,Fire
Entity,7,4,Fire,Fire
Entity,7,5,Fire,Fire
Entity,7,6,Fire,Fire
Entity,9,0,Star,Star
